"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Contrast"
"cg11893698",4.48943835140629,2.8882740063477,13.9031294108185,1.56793076109309e-10,1.83062294921799e-06,13.7241442716773,"Blood_vs_Saliva"
"cg13089599",4.17549088431609,2.45877421827683,13.6162034305183,2.15450276519755e-10,1.83062294921799e-06,13.4625352946978,"Blood_vs_Saliva"
"cg02737268",-4.75641641856852,3.16834038831617,-13.5549993258462,2.30731402724728e-10,1.83062294921799e-06,13.4058461450991,"Blood_vs_Saliva"
"cg09186408",4.81620143092726,2.82630057304518,13.1436844880297,3.68207139811699e-10,2.19101658544951e-06,13.016572181814,"Blood_vs_Saliva"
"cg16628135",4.32814363774553,2.96516936583238,12.7807837243035,5.61880698862764e-10,2.61375025178428e-06,12.660747697058,"Blood_vs_Saliva"
"cg18602928",3.83830591376228,2.43034239242449,12.5189378169684,7.66977491353598e-10,2.61375025178428e-06,12.3965297887394,"Blood_vs_Saliva"
"cg03797115",5.15356816332408,-2.73634109737738,12.5170819921692,7.68685478635827e-10,2.61375025178428e-06,12.3946342692497,"Blood_vs_Saliva"
"cg18873878",3.38478602522793,2.32859584245025,11.7284600989263,2.0287765989756e-09,6.03611757610214e-06,11.5588554461114,"Blood_vs_Saliva"
"cg13953735",3.73244200576856,2.51981112039939,11.6102453482539,2.35704248812931e-09,6.23359170027265e-06,11.4281887420959,"Blood_vs_Saliva"
"cg21101726",3.74708017045241,2.5287903253317,11.4390526827057,2.93514903120149e-09,6.98624172406577e-06,11.236377685252,"Blood_vs_Saliva"
"cg24142603",-3.48567036208401,2.10566575310378,-11.0869162004781,4.64693038492849e-09,9.97155993019439e-06,10.8319861335035,"Blood_vs_Saliva"
"cg05576959",4.80201773870113,-3.17208897425719,11.0274817081305,5.02725481734025e-09,9.97155993019439e-06,10.7623977337692,"Blood_vs_Saliva"
"cg24401262",3.65753744135799,-2.77385030553481,10.5428493624543,9.668076316227e-09,1.77015040368335e-05,10.1801233701706,"Blood_vs_Saliva"
"cg12699647",3.5330921265238,2.50392872062628,10.4391426135317,1.11532869103203e-08,1.846959374149e-05,10.0520074404186,"Blood_vs_Saliva"
"cg22669060",4.89988842474137,-3.63470022779394,10.408324892039,1.16395221461369e-08,1.846959374149e-05,10.0136922269513,"Blood_vs_Saliva"
"cg16125725",3.88932693979911,-1.92705118383222,10.2263450522982,1.50042959763412e-08,2.15064960853749e-05,9.78513510635861,"Blood_vs_Saliva"
